trial,code_distance,qubit_layout,n_trotter_steps,placement,n_aods,consider_skip_rus,trivial_return,decompose_move,parallel_execution,prepare_lookahead_angles,logical_se_interval,total_depth,fidelity,fidelity_of_rz_layer,fidelity_of_rz_injection,fidelity_of_rz_teleportaion,fidelity_of_rz_s,fidelity_cnot,fidelity_1q,fidelity_idle,n_cnot,n_cnot_teleportation,n_h,n_s,n_se_q
0,7,"(4, 4)",1,seperate_region_row,1,0,True,False,False,False,10,642.0,0.9988715423438281,0.9994348655000365,0.9999327087625001,0.9995021232347927,1,0.9996160731427869,0.9999872000793593,0.9998330139270217,128,166,32,0,835
1,7,"(4, 4)",1,seperate_region_row,1,0,True,False,False,False,10,703.0,0.9984889547837346,0.9990704449049339,0.9995935560054867,0.9994781354357083,0.99999854,0.9996160731427869,0.9999872000793593,0.9998146171669761,128,174,32,1,927
2,7,"(4, 4)",1,seperate_region_row,1,0,True,False,False,False,10,615.0,0.9989378014660526,0.9995009620894939,0.9999598390236049,0.9995411046362032,1,0.9996160731427869,0.9999872000793593,0.9998332138936645,128,153,32,0,834
3,7,"(4, 4)",1,seperate_region_row,1,0,True,False,False,False,10,680.0,0.998732571580905,0.9993146033030464,0.9998123866599309,0.9995021232347927,1,0.9996160731427869,0.9999872000793593,0.9998142172411691,128,166,32,0,929
4,7,"(4, 4)",1,seperate_region_row,1,0,True,False,False,False,10,480.0,0.9990743013589348,0.9995949552791006,0.99998787388935,0.9996070766251183,1,0.9996160731427869,0.9999872000793593,0.9998758077000787,128,131,32,0,621
0,7,"(4, 4)",1,col_based,1,0,True,False,False,False,10,383.0,0.9989496571605028,0.9994348655000365,0.9999327087625001,0.9995021232347927,1,0.9996160731427869,0.9999872000793593,0.9999112039337216,128,166,32,0,444
1,7,"(4, 4)",1,col_based,1,0,True,False,False,False,10,455.0,0.9985692365310124,0.9990704449049337,0.9995935560054865,0.9994781354357083,0.99999854,0.9996160731427869,0.9999872000793593,0.9998950055018051,128,174,32,1,525
2,7,"(4, 4)",1,col_based,1,0,True,False,False,False,10,384.0,0.9990214235410977,0.9995118641875912,0.9999617464172055,0.9995501005601203,1,0.9996160731427869,0.9999872000793593,0.9999060044084598,128,150,32,0,470
3,7,"(4, 4)",1,col_based,1,0,True,False,False,False,10,403.0,0.9987453090774424,0.999233016164054,0.9997337580816378,0.9994991247284231,1,0.9996160731427869,0.9999872000793593,0.999908604167711,128,167,32,0,457
4,7,"(4, 4)",1,col_based,1,0,True,False,False,False,10,266.0,0.999147036622881,0.9995949552791006,0.99998787388935,0.9996070766251183,1,0.9996160731427869,0.9999872000793593,0.9999486013158162,128,131,32,0,257
0,7,"(4, 4)",1,col_based,1,0,True,False,False,True,10,406.0,0.9989549587645367,0.9994453667820722,0.9999222166569522,0.9995231130312573,1,0.9996160731427869,0.9999872000793593,0.9999060044084598,128,159,32,0,470
1,7,"(4, 4)",1,col_based,1,0,True,False,False,True,10,360.0,0.9990135869259535,0.9994918298493614,0.99997770166476,0.9995141173502272,1,0.9996160731427869,0.9999872000793593,0.999918203337347,128,162,32,0,409
2,7,"(4, 4)",1,col_based,1,0,True,False,False,True,10,333.0,0.9990345368200192,0.9995061930091552,0.9999410734350667,0.9995650939465688,1,0.9996160731427869,0.9999872000793593,0.9999248028199276,128,145,32,0,376
3,7,"(4, 4)",1,col_based,1,0,True,False,False,True,10,426.0,0.9987317519840331,0.9992232494919615,0.9997809724920041,0.999442154816517,1,0.9996160731427869,0.9999872000793593,0.9999048045218544,128,186,32,0,476
4,7,"(4, 4)",1,col_based,1,0,True,False,False,True,10,325.0,0.9990854360714084,0.9995513188756499,0.9999802190272992,0.9995710913641207,1,0.9996160731427869,0.9999872000793593,0.9999306024011828,128,143,32,0,347
0,7,"(4, 4)",1,col_based,1,0,False,True,False,True,10,389.5,0.9989587548009721,0.9994453667820722,0.9999222166569522,0.9995231130312573,1,0.9996160731427869,0.9999872000793593,0.9999098040588759,128,159,32,0,451
1,7,"(4, 4)",1,col_based,1,0,False,True,False,True,10,348.5,0.999021841994528,0.9994948914822934,0.9999807647860095,0.9995141173502272,1,0.9996160731427869,0.9999872000793593,0.9999234029260434,128,162,32,0,383
2,7,"(4, 4)",1,col_based,1,0,False,True,False,True,10,312.5,0.9990447270252839,0.9995061930091552,0.9999410734350667,0.9995650939465688,1,0.9996160731427869,0.9999872000793593,0.9999350021059528,128,145,32,0,325
