method,n_qubit,qubit_layout,placement,n_aods,skip_rus,trivial_return,decompose_move,parallel_execution,mean_fidelity,std_fidelity,n_samples,infidelity,fidelity_of_rz_injection,fidelity_of_rz_injection_label,fidelity_of_rz_teleportaion,fidelity_of_rz_teleportaion_label,fidelity_of_rz_s,fidelity_of_rz_s_label,fidelity_of_rz_layer,fidelity_of_rz_layer_label,fidelity_cnot,fidelity_cnot_label,fidelity_1q,fidelity_1q_label,code_distance,fidelity_target,factory_physical_size,fidelity_of_rz_h,fidelity_of_rz_h_label,fidelity_of_t_gate,fidelity_of_t_gate_label,fidelity_h,fidelity_h_label,fidelity_approximation,fidelity_approximation_label,fidelity_total_gate_only,fidelity_total_gate_only_label
raw,16,"(4, 4)",N/A,N/A,N/A,N/A,N/A,N/A,0.8726652374883167,,1,0.1273347625116833,,,,,,,,,,,,,,,,,,,,,,,,,
star,16,"(4, 4)",col_based,1,0,False,False,False,0.99933651449439,0.0005386214289082686,10,0.0006634855056100175,0.9998257402798533,RZ Injection,0.9997269478087809,Teleportation-CNOT,0.999999854,Rz Correction,0.9995526117839649,RZ Layer,0.9997907236343592,CNOT,0.9999930229321882,H,,,,,,,,,,,,,
star,16,"(4, 4)",col_based,2,0,False,False,False,0.99933651449439,0.0005386214289082686,10,0.0006634855056100175,0.9998257402798533,RZ Injection,0.9997269478087809,Teleportation-CNOT,0.999999854,Rz Correction,0.9995526117839649,RZ Layer,0.9997907236343592,CNOT,0.9999930229321882,H,,,,,,,,,,,,,
star,16,"(4, 4)",col_based,3,0,False,False,False,0.99933651449439,0.0005386214289082686,10,0.0006634855056100175,0.9998257402798533,RZ Injection,0.9997269478087809,Teleportation-CNOT,0.999999854,Rz Correction,0.9995526117839649,RZ Layer,0.9997907236343592,CNOT,0.9999930229321882,H,,,,,,,,,,,,,
star,16,"(4, 4)",col_based,4,0,False,False,False,0.99933651449439,0.0005386214289082686,10,0.0006634855056100175,0.9998257402798533,RZ Injection,0.9997269478087809,Teleportation-CNOT,0.999999854,Rz Correction,0.9995526117839649,RZ Layer,0.9997907236343592,CNOT,0.9999930229321882,H,,,,,,,,,,,,,
star,16,"(4, 4)",col_based,5,0,False,False,False,0.99933651449439,0.0005386214289082686,10,0.0006634855056100175,0.9998257402798533,RZ Injection,0.9997269478087809,Teleportation-CNOT,0.999999854,Rz Correction,0.9995526117839649,RZ Layer,0.9997907236343592,CNOT,0.9999930229321882,H,,,,,,,,,,,,,
star,16,"(4, 4)",col_based,1,0,True,False,False,0.9993467680771084,0.0005175676475774244,10,0.0006532319228915728,0.9998302365675595,RZ Injection,0.9997327217070557,Teleportation-CNOT,0.999999854,Rz Correction,0.9995628737797642,RZ Layer,0.9997907236343592,CNOT,0.9999930229321882,H,,,,,,,,,,,,,
star,16,"(4, 4)",col_based,2,0,True,False,False,0.9993467680771084,0.0005175676475774244,10,0.0006532319228915728,0.9998302365675595,RZ Injection,0.9997327217070557,Teleportation-CNOT,0.999999854,Rz Correction,0.9995628737797642,RZ Layer,0.9997907236343592,CNOT,0.9999930229321882,H,,,,,,,,,,,,,
star,16,"(4, 4)",col_based,3,0,True,False,False,0.9993467680771084,0.0005175676475774244,10,0.0006532319228915728,0.9998302365675595,RZ Injection,0.9997327217070557,Teleportation-CNOT,0.999999854,Rz Correction,0.9995628737797642,RZ Layer,0.9997907236343592,CNOT,0.9999930229321882,H,,,,,,,,,,,,,
star,16,"(4, 4)",col_based,4,0,True,False,False,0.9993467680771084,0.0005175676475774244,10,0.0006532319228915728,0.9998302365675595,RZ Injection,0.9997327217070557,Teleportation-CNOT,0.999999854,Rz Correction,0.9995628737797642,RZ Layer,0.9997907236343592,CNOT,0.9999930229321882,H,,,,,,,,,,,,,
star,16,"(4, 4)",col_based,5,0,True,False,False,0.9993467680771084,0.0005175676475774244,10,0.0006532319228915728,0.9998302365675595,RZ Injection,0.9997327217070557,Teleportation-CNOT,0.999999854,Rz Correction,0.9995628737797642,RZ Layer,0.9997907236343592,CNOT,0.9999930229321882,H,,,,,,,,,,,,,
star,16,"(4, 4)",checkerboard,1,0,True,False,False,0.9993599559040881,0.0005206157745718048,10,0.0006400440959118958,0.9998340412498303,RZ Injection,0.9997419604679031,Teleportation-CNOT,1.0,Rz Correction,0.9995760620527332,RZ Layer,0.9997907236343592,CNOT,0.9999930229321882,H,,,,,,,,,,,,,
star,16,"(4, 4)",checkerboard,2,0,True,False,False,0.9993599559040881,0.0005206157745718048,10,0.0006400440959118958,0.9998340412498303,RZ Injection,0.9997419604679031,Teleportation-CNOT,1.0,Rz Correction,0.9995760620527332,RZ Layer,0.9997907236343592,CNOT,0.9999930229321882,H,,,,,,,,,,,,,
star,16,"(4, 4)",checkerboard,3,0,True,False,False,0.9993599559040881,0.0005206157745718048,10,0.0006400440959118958,0.9998340412498303,RZ Injection,0.9997419604679031,Teleportation-CNOT,1.0,Rz Correction,0.9995760620527332,RZ Layer,0.9997907236343592,CNOT,0.9999930229321882,H,,,,,,,,,,,,,
star,16,"(4, 4)",checkerboard,4,0,True,False,False,0.9993599559040881,0.0005206157745718048,10,0.0006400440959118958,0.9998340412498303,RZ Injection,0.9997419604679031,Teleportation-CNOT,1.0,Rz Correction,0.9995760620527332,RZ Layer,0.9997907236343592,CNOT,0.9999930229321882,H,,,,,,,,,,,,,
star,16,"(4, 4)",checkerboard,5,0,True,False,False,0.9993599559040881,0.0005206157745718048,10,0.0006400440959118958,0.9998340412498303,RZ Injection,0.9997419604679031,Teleportation-CNOT,1.0,Rz Correction,0.9995760620527332,RZ Layer,0.9997907236343592,CNOT,0.9999930229321882,H,,,,,,,,,,,,,
star,16,"(4, 4)",checkerboard,1,1,False,False,False,0.9993844478204187,0.00035528712878744504,10,0.0006155521795813135,0.9998634722990557,RZ Injection,0.9997371111663693,Teleportation-CNOT,0.9999999868347279,Rz Correction,0.9996005882090095,RZ Layer,0.9997907236343592,CNOT,0.9999930229321882,H,,,,,,,,,,,,,
star,16,"(4, 4)",col_based,1,2,False,False,False,0.9993997051911038,0.0005159317508095021,10,0.000600294808896229,0.9998726005999016,RZ Injection,0.9997433154262418,Teleportation-CNOT,0.999999854,Rz Correction,0.9996158207463937,RZ Layer,0.9997907236343592,CNOT,0.9999930229321882,H,,,,,,,,,,,,,
star,16,"(4, 4)",checkerboard,1,0,False,False,False,0.9994003612906497,0.00049805962656886,10,0.0005996387093503142,0.9998771743204475,RZ Injection,0.9997392594196164,Teleportation-CNOT,1.0,Rz Correction,0.9996164788248205,RZ Layer,0.9997907236343592,CNOT,0.9999930229321882,H,,,,,,,,,,,,,
star,16,"(4, 4)",checkerboard,2,0,False,False,False,0.9994003612906497,0.00049805962656886,10,0.0005996387093503142,0.9998771743204475,RZ Injection,0.9997392594196164,Teleportation-CNOT,1.0,Rz Correction,0.9996164788248205,RZ Layer,0.9997907236343592,CNOT,0.9999930229321882,H,,,,,,,,,,,,,
star,16,"(4, 4)",checkerboard,3,0,False,False,False,0.9994003612906497,0.00049805962656886,10,0.0005996387093503142,0.9998771743204475,RZ Injection,0.9997392594196164,Teleportation-CNOT,1.0,Rz Correction,0.9996164788248205,RZ Layer,0.9997907236343592,CNOT,0.9999930229321882,H,,,,,,,,,,,,,
star,16,"(4, 4)",checkerboard,4,0,False,False,False,0.9994003612906497,0.00049805962656886,10,0.0005996387093503142,0.9998771743204475,RZ Injection,0.9997392594196164,Teleportation-CNOT,1.0,Rz Correction,0.9996164788248205,RZ Layer,0.9997907236343592,CNOT,0.9999930229321882,H,,,,,,,,,,,,,
star,16,"(4, 4)",checkerboard,5,0,False,False,False,0.9994003612906497,0.00049805962656886,10,0.0005996387093503142,0.9998771743204475,RZ Injection,0.9997392594196164,Teleportation-CNOT,1.0,Rz Correction,0.9996164788248205,RZ Layer,0.9997907236343592,CNOT,0.9999930229321882,H,,,,,,,,,,,,,
star,16,"(4, 4)",checkerboard,1,0,False,False,True,0.9994016918206603,0.0004965999520755833,10,0.0005983081793397016,0.9998747209915972,RZ Injection,0.999743189397746,Teleportation-CNOT,0.999999854,Rz Correction,0.9996178113177219,RZ Layer,0.9997907236343592,CNOT,0.9999930229321882,H,,,,,,,,,,,,,
star,16,"(4, 4)",checkerboard,2,0,False,False,True,0.9994016918206603,0.0004965999520755833,10,0.0005983081793397016,0.9998747209915972,RZ Injection,0.999743189397746,Teleportation-CNOT,0.999999854,Rz Correction,0.9996178113177219,RZ Layer,0.9997907236343592,CNOT,0.9999930229321882,H,,,,,,,,,,,,,
star,16,"(4, 4)",checkerboard,3,0,False,False,True,0.9994016918206603,0.0004965999520755833,10,0.0005983081793397016,0.9998747209915972,RZ Injection,0.999743189397746,Teleportation-CNOT,0.999999854,Rz Correction,0.9996178113177219,RZ Layer,0.9997907236343592,CNOT,0.9999930229321882,H,,,,,,,,,,,,,
star,16,"(4, 4)",checkerboard,4,0,False,False,True,0.9994016918206603,0.0004965999520755833,10,0.0005983081793397016,0.9998747209915972,RZ Injection,0.999743189397746,Teleportation-CNOT,0.999999854,Rz Correction,0.9996178113177219,RZ Layer,0.9997907236343592,CNOT,0.9999930229321882,H,,,,,,,,,,,,,
star,16,"(4, 4)",checkerboard,5,0,False,False,True,0.9994016918206603,0.0004965999520755833,10,0.0005983081793397016,0.9998747209915972,RZ Injection,0.999743189397746,Teleportation-CNOT,0.999999854,Rz Correction,0.9996178113177219,RZ Layer,0.9997907236343592,CNOT,0.9999930229321882,H,,,,,,,,,,,,,
star,16,"(4, 4)",checkerboard,2,2,False,False,True,0.9994102949370118,0.0004881666888104283,10,0.0005897050629881662,0.9998845588633023,RZ Injection,0.9997419630238203,Teleportation-CNOT,0.999999854,Rz Correction,0.9996264174202375,RZ Layer,0.9997907236343592,CNOT,0.9999930229321882,H,,,,,,,,,,,,,
star,16,"(4, 4)",checkerboard,3,2,False,False,True,0.9994102949370118,0.0004881666888104283,10,0.0005897050629881662,0.9998845588633023,RZ Injection,0.9997419630238203,Teleportation-CNOT,0.999999854,Rz Correction,0.9996264174202375,RZ Layer,0.9997907236343592,CNOT,0.9999930229321882,H,,,,,,,,,,,,,
star,16,"(4, 4)",checkerboard,4,2,False,False,True,0.9994102949370118,0.0004881666888104283,10,0.0005897050629881662,0.9998845588633023,RZ Injection,0.9997419630238203,Teleportation-CNOT,0.999999854,Rz Correction,0.9996264174202375,RZ Layer,0.9997907236343592,CNOT,0.9999930229321882,H,,,,,,,,,,,,,
star,16,"(4, 4)",checkerboard,1,2,False,False,False,0.9994120560191027,0.0004354728900439809,10,0.000587943980897343,0.9998862579424476,RZ Injection,0.9997419017089815,Teleportation-CNOT,1.0,Rz Correction,0.999628188156972,RZ Layer,0.9997907236343592,CNOT,0.9999930229321882,H,,,,,,,,,,,,,
star,16,"(4, 4)",col_based,3,2,False,False,False,0.999414916439951,0.0004848076649010307,10,0.0005850835600490489,0.9998964800477432,RZ Injection,0.9997345210036961,Teleportation-CNOT,1.0,Rz Correction,0.9996310403203704,RZ Layer,0.9997907236343592,CNOT,0.9999930229321882,H,,,,,,,,,,,,,
star,16,"(4, 4)",col_based,3,2,False,True,False,0.999414916439951,0.0004848076649010307,10,0.0005850835600490489,0.9998964800477432,RZ Injection,0.9997345210036961,Teleportation-CNOT,1.0,Rz Correction,0.9996310403203704,RZ Layer,0.9997907236343592,CNOT,0.9999930229321882,H,,,,,,,,,,,,,
star,16,"(4, 4)",col_based,4,2,False,False,False,0.999414916439951,0.0004848076649010307,10,0.0005850835600490489,0.9998964800477432,RZ Injection,0.9997345210036961,Teleportation-CNOT,1.0,Rz Correction,0.9996310403203704,RZ Layer,0.9997907236343592,CNOT,0.9999930229321882,H,,,,,,,,,,,,,
star,16,"(4, 4)",col_based,4,2,False,True,False,0.999414916439951,0.0004848076649010307,10,0.0005850835600490489,0.9998964800477432,RZ Injection,0.9997345210036961,Teleportation-CNOT,1.0,Rz Correction,0.9996310403203704,RZ Layer,0.9997907236343592,CNOT,0.9999930229321882,H,,,,,,,,,,,,,
