method,n_qubit,qubit_layout,placement,n_aods,skip_rus,trivial_return,decompose_move,parallel_execution,mean_fidelity,std_fidelity,n_samples,infidelity,code_distance,fidelity_target,factory_physical_size
star,16,"(4, 4)",checkerboard,5,2,False,True,False,0.999424342574296,0.00046790585410101855,10,0.0005756574257039793,,,
star,16,"(4, 4)",col_based,1,2,False,False,True,0.9994249333885097,0.0004715750626755918,10,0.0005750666114903158,,,
star,16,"(4, 4)",col_based,2,1,False,False,False,0.9994291769984232,0.00040650387354699945,10,0.0005708230015768478,,,
star,16,"(4, 4)",col_based,3,1,False,False,False,0.9994291769984232,0.00040650387354699945,10,0.0005708230015768478,,,
star,16,"(4, 4)",col_based,4,1,False,False,False,0.9994291769984232,0.00040650387354699945,10,0.0005708230015768478,,,
star,16,"(4, 4)",col_based,5,1,False,False,False,0.9994291769984232,0.00040650387354699945,10,0.0005708230015768478,,,
star,16,"(4, 4)",checkerboard,2,1,False,False,False,0.9994304437429762,0.0003929385857624228,10,0.0005695562570238177,,,
star,16,"(4, 4)",checkerboard,3,1,False,False,False,0.9994304437429762,0.0003929385857624228,10,0.0005695562570238177,,,
star,16,"(4, 4)",checkerboard,4,1,False,False,False,0.9994304437429762,0.0003929385857624228,10,0.0005695562570238177,,,
star,16,"(4, 4)",checkerboard,5,1,False,False,False,0.9994304437429762,0.0003929385857624228,10,0.0005695562570238177,,,
star,16,"(4, 4)",col_based,1,0,False,False,True,0.9994382723639784,0.00044983571796970885,10,0.0005617276360215806,,,
star,16,"(4, 4)",col_based,2,0,False,False,True,0.9994382723639784,0.00044983571796970885,10,0.0005617276360215806,,,
star,16,"(4, 4)",col_based,3,0,False,False,True,0.9994382723639784,0.00044983571796970885,10,0.0005617276360215806,,,
star,16,"(4, 4)",col_based,4,0,False,False,True,0.9994382723639784,0.00044983571796970885,10,0.0005617276360215806,,,
star,16,"(4, 4)",col_based,5,0,False,False,True,0.9994382723639784,0.00044983571796970885,10,0.0005617276360215806,,,
star,16,"(4, 4)",col_based,3,2,False,False,True,0.9994419294701788,0.00046065859508672964,10,0.000558070529821153,,,
star,16,"(4, 4)",col_based,4,2,False,False,True,0.9994419294701788,0.00046065859508672964,10,0.000558070529821153,,,
star,16,"(4, 4)",col_based,5,2,False,False,True,0.9994419294701788,0.00046065859508672964,10,0.000558070529821153,,,
star,16,"(4, 4)",col_based,2,2,False,False,True,0.9994439186683117,0.000462739307162474,10,0.000556081331688274,,,
star,16,"(4, 4)",col_based,1,1,False,False,False,0.9994482704390097,0.0004792664909286769,10,0.000551729560990255,,,
t_cultivation,16,"(4, 4)",col_based,2,N/A,N/A,N/A,N/A,0.9875177892899378,4.663421752249775e-05,5,0.01248221071006217,7.0,1e-08,2.0
t_cultivation,16,"(4, 4)",col_based,3,N/A,N/A,N/A,N/A,0.9875177892899378,4.663421752249775e-05,5,0.01248221071006217,7.0,1e-08,2.0
t_cultivation,16,"(4, 4)",col_based,4,N/A,N/A,N/A,N/A,0.9875177892899378,4.663421752249775e-05,5,0.01248221071006217,7.0,1e-08,2.0
t_cultivation,16,"(4, 4)",col_based,5,N/A,N/A,N/A,N/A,0.9875177892899378,4.663421752249775e-05,5,0.01248221071006217,7.0,1e-08,2.0
t_cultivation,16,"(4, 4)",col_based,2,N/A,N/A,N/A,N/A,0.9964970823703969,,1,0.003502917629603086,9.0,1e-08,2.0
t_cultivation,16,"(4, 4)",col_based,3,N/A,N/A,N/A,N/A,0.9964970823703969,,1,0.003502917629603086,9.0,1e-08,2.0
t_cultivation,16,"(4, 4)",col_based,4,N/A,N/A,N/A,N/A,0.9964970823703969,,1,0.003502917629603086,9.0,1e-08,2.0
t_cultivation,16,"(4, 4)",col_based,5,N/A,N/A,N/A,N/A,0.9964970823703969,,1,0.003502917629603086,9.0,1e-08,2.0
t_cultivation,16,"(4, 4)",col_based,2,N/A,N/A,N/A,N/A,0.9999598406845681,2.3913089179082997e-08,5,4.015931543188689e-05,13.0,1e-08,4.0
t_cultivation,16,"(4, 4)",col_based,3,N/A,N/A,N/A,N/A,0.9999598406845681,2.3913089179082997e-08,5,4.015931543188689e-05,13.0,1e-08,4.0
t_cultivation,16,"(4, 4)",col_based,4,N/A,N/A,N/A,N/A,0.9999598406845681,2.3913089179082997e-08,5,4.015931543188689e-05,13.0,1e-08,4.0
t_cultivation,16,"(4, 4)",col_based,5,N/A,N/A,N/A,N/A,0.9999598406845681,2.3913089179082997e-08,5,4.015931543188689e-05,13.0,1e-08,4.0
t_cultivation,16,"(4, 4)",col_based,2,N/A,N/A,N/A,N/A,0.999991366759293,2.175200529700423e-08,5,8.633240706990009e-06,13.0,1e-10,4.0
t_cultivation,16,"(4, 4)",col_based,3,N/A,N/A,N/A,N/A,0.999991366759293,2.175200529700423e-08,5,8.633240706990009e-06,13.0,1e-10,4.0
t_cultivation,16,"(4, 4)",col_based,4,N/A,N/A,N/A,N/A,0.999991366759293,2.175200529700423e-08,5,8.633240706990009e-06,13.0,1e-10,4.0
t_cultivation,16,"(4, 4)",col_based,5,N/A,N/A,N/A,N/A,0.999991366759293,2.175200529700423e-08,5,8.633240706990009e-06,13.0,1e-10,4.0
raw,36,"(6, 6)",N/A,N/A,N/A,N/A,N/A,N/A,0.7360499229082377,,1,0.2639500770917623,,,
star,36,"(6, 6)",col_based,2,2,False,False,True,0.9984863892271628,0.0012627549550151057,10,0.0015136107728371817,,,
star,36,"(6, 6)",col_based,1,2,False,False,True,0.9985054625584084,0.0011020289826582607,10,0.001494537441591559,,,
star,36,"(6, 6)",col_based,1,0,False,False,True,0.9985075859363043,0.0010947948230002923,10,0.0014924140636957128,,,
star,36,"(6, 6)",col_based,2,0,False,False,True,0.9985075859363043,0.0010947948230002923,10,0.0014924140636957128,,,
star,36,"(6, 6)",col_based,3,0,False,False,True,0.9985075859363043,0.0010947948230002923,10,0.0014924140636957128,,,
star,36,"(6, 6)",col_based,4,0,False,False,True,0.9985075859363043,0.0010947948230002923,10,0.0014924140636957128,,,
star,36,"(6, 6)",col_based,5,0,False,False,True,0.9985075859363043,0.0010947948230002923,10,0.0014924140636957128,,,
star,36,"(6, 6)",checkerboard,1,1,False,False,False,0.9985905723844075,0.0011670038262228083,10,0.0014094276155924845,,,
star,36,"(6, 6)",checkerboard,1,0,False,False,True,0.9985970990990367,0.0010709874385037947,10,0.0014029009009632887,,,
star,36,"(6, 6)",checkerboard,2,0,False,False,True,0.9985970990990367,0.0010709874385037947,10,0.0014029009009632887,,,
star,36,"(6, 6)",checkerboard,3,0,False,False,True,0.9985970990990367,0.0010709874385037947,10,0.0014029009009632887,,,
star,36,"(6, 6)",checkerboard,4,0,False,False,True,0.9985970990990367,0.0010709874385037947,10,0.0014029009009632887,,,
star,36,"(6, 6)",checkerboard,5,0,False,False,True,0.9985970990990367,0.0010709874385037947,10,0.0014029009009632887,,,
star,36,"(6, 6)",checkerboard,2,2,False,False,False,0.998643574426062,0.001047436573004979,10,0.0013564255739380027,,,
star,36,"(6, 6)",checkerboard,2,2,False,True,False,0.998643574426062,0.001047436573004979,10,0.0013564255739380027,,,
star,36,"(6, 6)",col_based,3,2,False,False,True,0.9986467800669162,0.0011243275626422913,10,0.0013532199330837935,,,
star,36,"(6, 6)",checkerboard,4,1,False,False,False,0.9986600213522927,0.0009717132142949618,10,0.0013399786477072961,,,
star,36,"(6, 6)",checkerboard,5,1,False,False,False,0.9986600213522927,0.0009717132142949618,10,0.0013399786477072961,,,
star,36,"(6, 6)",checkerboard,3,1,False,False,False,0.9986607072731601,0.0009725483890623266,10,0.001339292726839858,,,
star,36,"(6, 6)",checkerboard,2,1,False,False,False,0.9986712697086878,0.000986221120633508,10,0.0013287302913121968,,,
star,36,"(6, 6)",col_based,1,2,False,False,False,0.9986833973316939,0.0010011231505198629,10,0.0013166026683061327,,,
star,36,"(6, 6)",col_based,1,2,False,True,False,0.9986833973316939,0.0010011231505198629,10,0.0013166026683061327,,,
star,36,"(6, 6)",checkerboard,4,2,False,False,True,0.9986957436367195,0.0011175349282595425,10,0.001304256363280465,,,
star,36,"(6, 6)",checkerboard,5,2,False,False,True,0.9986957436367195,0.0011175349282595425,10,0.001304256363280465,,,
star,36,"(6, 6)",col_based,1,0,False,False,False,0.9986990142431187,0.0010895736883302749,10,0.0013009857568813121,,,
star,36,"(6, 6)",col_based,2,0,False,False,False,0.9986990142431187,0.0010895736883302749,10,0.0013009857568813121,,,
star,36,"(6, 6)",col_based,3,0,False,False,False,0.9986990142431187,0.0010895736883302749,10,0.0013009857568813121,,,
star,36,"(6, 6)",col_based,4,0,False,False,False,0.9986990142431187,0.0010895736883302749,10,0.0013009857568813121,,,
star,36,"(6, 6)",col_based,5,0,False,False,False,0.9986990142431187,0.0010895736883302749,10,0.0013009857568813121,,,
star,36,"(6, 6)",col_based,1,0,True,False,False,0.9987000240848987,0.0009690997345457791,10,0.0012999759151013368,,,
star,36,"(6, 6)",col_based,2,0,True,False,False,0.9987000240848987,0.0009690997345457791,10,0.0012999759151013368,,,
star,36,"(6, 6)",col_based,3,0,True,False,False,0.9987000240848987,0.0009690997345457791,10,0.0012999759151013368,,,
star,36,"(6, 6)",col_based,4,0,True,False,False,0.9987000240848987,0.0009690997345457791,10,0.0012999759151013368,,,
star,36,"(6, 6)",col_based,5,0,True,False,False,0.9987000240848987,0.0009690997345457791,10,0.0012999759151013368,,,
star,36,"(6, 6)",checkerboard,1,2,False,False,False,0.9987014563952437,0.0010652891246890894,10,0.0012985436047563415,,,
star,36,"(6, 6)",checkerboard,1,2,False,True,False,0.9987014563952437,0.0010652891246890894,10,0.0012985436047563415,,,
star,36,"(6, 6)",checkerboard,3,2,False,False,True,0.998704389309173,0.0011085182177770069,10,0.0012956106908269538,,,
star,36,"(6, 6)",checkerboard,2,2,False,False,True,0.9987080512025134,0.001121789548485643,10,0.0012919487974866195,,,
star,36,"(6, 6)",col_based,4,2,False,False,True,0.998726355643392,0.00102587232449552,10,0.001273644356608039,,,
star,36,"(6, 6)",col_based,5,2,False,False,True,0.998726355643392,0.00102587232449552,10,0.001273644356608039,,,
star,36,"(6, 6)",col_based,1,1,False,False,False,0.9987264753887807,0.0009084709665227612,10,0.0012735246112193233,,,
star,36,"(6, 6)",checkerboard,1,2,False,False,True,0.9987320024995678,0.0009668504432885502,10,0.0012679975004321609,,,
star,36,"(6, 6)",col_based,3,1,False,False,False,0.9987421200143647,0.0009596309846263726,10,0.001257879985635313,,,
star,36,"(6, 6)",col_based,4,1,False,False,False,0.9987421200143647,0.0009596309846263726,10,0.001257879985635313,,,
star,36,"(6, 6)",col_based,5,1,False,False,False,0.9987421200143647,0.0009596309846263726,10,0.001257879985635313,,,
star,36,"(6, 6)",col_based,2,1,False,False,False,0.9987540457981078,0.0009344642292114545,10,0.0012459542018922187,,,
star,36,"(6, 6)",checkerboard,3,2,False,False,False,0.9987573249549369,0.000952724330161633,10,0.0012426750450631463,,,
star,36,"(6, 6)",checkerboard,3,2,False,True,False,0.9987573249549369,0.000952724330161633,10,0.0012426750450631463,,,
star,36,"(6, 6)",checkerboard,4,2,False,False,False,0.9987586535091066,0.0009542462143642002,10,0.001241346490893358,,,
star,36,"(6, 6)",checkerboard,4,2,False,True,False,0.9987586535091066,0.0009542462143642002,10,0.001241346490893358,,,
star,36,"(6, 6)",checkerboard,5,2,False,False,False,0.9987586535091066,0.0009542462143642002,10,0.001241346490893358,,,
star,36,"(6, 6)",checkerboard,5,2,False,True,False,0.9987586535091066,0.0009542462143642002,10,0.001241346490893358,,,
star,36,"(6, 6)",checkerboard,1,0,True,False,False,0.9987647006685789,0.0009592656768270181,10,0.0012352993314210803,,,
star,36,"(6, 6)",checkerboard,2,0,True,False,False,0.9987647006685789,0.0009592656768270181,10,0.0012352993314210803,,,
star,36,"(6, 6)",checkerboard,3,0,True,False,False,0.9987647006685789,0.0009592656768270181,10,0.0012352993314210803,,,
star,36,"(6, 6)",checkerboard,4,0,True,False,False,0.9987647006685789,0.0009592656768270181,10,0.0012352993314210803,,,
