angle,physical angle,distance,fidelity,success rate,space time
0.7853981633974483,0.7853981633974481,3,1.0,0.2299,0
0.39269908169872414,0.6405712529887879,3,0.9998546410021512,0.2852357356152468,0
0.19634954084936207,0.5283789589063717,3,0.9997874372376278,0.39796021629466727,0
0.09817477042468103,0.4326340387970545,3,0.9999101271354902,0.5211238333127716,0
0.04908738521234052,0.3510739915372676,3,0.9999385967137562,0.630966416167302,0
0.02454369260617026,0.2828396431693178,3,0.9999613458407921,0.7273824611465715,0
0.01227184630308513,0.22669763332142126,3,0.9999801811592801,0.7889880577786501,0
0.006135923151542565,0.18106958999304087,3,0.9999958742533134,0.8293433047229394,0
0.0030679615757712823,0.14429617694573424,3,0.9999991604536271,0.8602023483668534,0
0.7853981633974483,0.7853981633974482,5,1.0,0.049175,0
0.39269908169872414,0.6977137360329593,5,0.9999194183446093,0.06375274948138808,0
0.19634954084936207,0.6266456206210169,5,0.9999181521552764,0.09768441605564435,0
0.09817477042468103,0.5615006657467764,5,0.9997876052444911,0.148552046156596,0
0.04908738521234052,0.5008050868646162,5,0.9999848210416387,0.21019144186901642,0
0.02454369260617026,0.4446200951476708,5,0.9999877136377481,0.2783995684493393,0
0.01227184630308513,0.39315682997296647,5,0.9999984588797296,0.35220098476559447,0
0.006135923151542565,0.34649195308643643,5,0.9999866197853267,0.4175532324342513,0
0.0030679615757712823,0.3045409271488375,5,1.0,0.4816126177297221,0
0.7853981633974483,0.7853981633974482,7,1.0,0.010021875000000001,0
0.39269908169872414,0.7226085940005049,7,0.9999650268217624,0.013338635822313451,0
0.19634954084936207,0.6710585903809633,7,0.9999480667785463,0.021779791639850773,0
0.09817477042468103,0.6227867910733328,7,0.9999717255993669,0.035317163644856785,0
0.04908738521234052,0.5765143260830959,7,0.9999833154304285,0.05397267931122551,0
0.02454369260617026,0.5321798179049742,7,0.9999640559259291,0.0815335820457013,0
0.01227184630308513,0.4899492150864596,7,0.999997035344984,0.11098406712357456,0
0.006135923151542565,0.44998826034155015,7,0.9999993824212132,0.14859779434111262,0
0.0030679615757712823,0.4124110307130317,7,0.999999861275525,0.19045190366751955,0
