n_qubit,n_trotter_steps,fidelity,total_duration,fidelity_cz,fidelity_1q,fidelity_move,fidelity_idle,fidelity_init,fidelity_measurement
16,1,0.9213391499215563,0.0006596616079918461,0.9678839531253008,0.9646350833975661,0.9985610174173793,0.9993636355172941,0.9952107848947319,0.9936191642065481
36,1,0.8316563981157463,0.0006596616079918461,0.9291854521171513,0.9221824846179255,0.9967652007207457,0.9985687493583639,0.989256507696217,0.9857003445441171
64,1,0.7205731959463523,0.0006596616079918461,0.8775930160102591,0.8658690413444574,0.9942564817804063,0.9974569707970612,0.9809803202000746,0.9747199096918594
100,1,0.5992693087194952,0.0006596616079918461,0.815446663356347,0.798489263900773,0.991040261629749,0.9960293598676035,0.9704411656798425,0.9607817508172766
16,1,0.9213391499215563,0.0006596616079918461,0.9678839531253008,0.9646350833975661,0.9985610174173793,0.9993636355172941,0.9952107848947319,0.9936191642065481
36,1,0.8316563981157463,0.0006596616079918461,0.9291854521171513,0.9221824846179255,0.9967652007207457,0.9985687493583639,0.989256507696217,0.9857003445441171
64,1,0.7205731959463523,0.0006596616079918461,0.8775930160102591,0.8658690413444574,0.9942564817804063,0.9974569707970612,0.9809803202000746,0.9747199096918594
100,1,0.5992693087194952,0.0006596616079918461,0.815446663356347,0.798489263900773,0.991040261629749,0.9960293598676035,0.9704411656798425,0.9607817508172766
16,1,0.9213391499215563,0.0006596616079918461,0.9678839531253008,0.9646350833975661,0.9985610174173793,0.9993636355172941,0.9952107848947319,0.9936191642065481
36,1,0.8316563981157463,0.0006596616079918461,0.9291854521171513,0.9221824846179255,0.9967652007207457,0.9985687493583639,0.989256507696217,0.9857003445441171
64,1,0.7205731959463523,0.0006596616079918461,0.8775930160102591,0.8658690413444574,0.9942564817804063,0.9974569707970612,0.9809803202000746,0.9747199096918594
100,1,0.5992693087194952,0.0006596616079918461,0.815446663356347,0.798489263900773,0.991040261629749,0.9960293598676035,0.9704411656798425,0.9607817508172766
16,1,0.9213391499215563,0.0006596616079918461,0.9678839531253008,0.9646350833975661,0.9985610174173793,0.9993636355172941,0.9952107848947319,0.9936191642065481
36,1,0.8316563981157463,0.0006596616079918461,0.9291854521171513,0.9221824846179255,0.9967652007207457,0.9985687493583639,0.989256507696217,0.9857003445441171
64,1,0.7205731959463523,0.0006596616079918461,0.8775930160102591,0.8658690413444574,0.9942564817804063,0.9974569707970612,0.9809803202000746,0.9747199096918594
100,1,0.5992693087194952,0.0006596616079918461,0.815446663356347,0.798489263900773,0.991040261629749,0.9960293598676035,0.9704411656798425,0.9607817508172766
