trial,code_distance,qubit_layout,n_trotter_steps,placement,n_aods,consider_skip_rus,trivial_return,decompose_move,parallel_execution,prepare_lookahead_angles,logical_se_interval,total_depth,fidelity,fidelity_of_rz_layer,fidelity_of_rz_injection,fidelity_of_rz_teleportaion,fidelity_of_rz_s,fidelity_cnot,fidelity_1q,fidelity_idle,n_cnot,n_cnot_teleportation,n_h,n_s,n_se_q,n_rz_seen
2,7,"(4, 4)",1,seperate_region_row,1,0,False,True,False,False,10,480.0,0.9991867928335129,0.9995311722411145,0.9999030675632696,0.9996280686256305,1.0,0.9998080181428767,0.9999744003225566,0.9998730080514566,64,124,64,0,635,29
3,7,"(4, 4)",1,seperate_region_row,1,0,False,True,False,False,10,377.0,0.9993115125706652,0.9996257458077357,0.9999766765556509,0.99964906106698,1.0,0.9998080181428767,0.9999744003225566,0.9999032046752869,64,117,64,0,484,21
4,7,"(4, 4)",1,seperate_region_row,1,0,False,True,False,False,10,438.5,0.9992709041262088,0.9996019177667999,0.9999678395771889,0.9996340664210323,1.0,0.9998080181428767,0.9999744003225566,0.9998864064408737,64,122,64,0,568,25
5,7,"(4, 4)",1,seperate_region_row,1,0,False,True,False,False,10,405.5,0.9992483733075961,0.9995691838260446,0.9999350936536008,0.9996340664210323,1.0,0.9998080181428767,0.9999744003225566,0.9998966053352538,64,122,64,0,517,26
6,7,"(4, 4)",1,seperate_region_row,1,0,False,True,False,False,10,403.5,0.9992882925073318,0.9996115149069094,0.9999714403748584,0.9996400642524209,1.0,0.9998080181428767,0.9999744003225566,0.9998942055860407,64,120,64,0,529,27
7,7,"(4, 4)",1,seperate_region_row,1,0,False,True,False,False,10,451.0,0.9989086051460159,0.99924549422878,0.9996277393248142,0.9996190720000029,0.99999854,0.9998080181428767,0.9999744003225566,0.9998804071398328,64,127,64,1,598,33
8,7,"(4, 4)",1,seperate_region_row,1,0,False,True,False,False,10,471.5,0.9991269130483382,0.999469872558851,0.9998387455480129,0.999631067518833,1.0,0.9998080181428767,0.9999744003225566,0.9998744078747878,64,123,64,0,628,35
9,7,"(4, 4)",1,seperate_region_row,1,0,False,True,False,False,10,380.0,0.9992931251303608,0.9996111511010425,0.9999800762316842,0.999631067518833,1.0,0.9998080181428767,0.9999744003225566,0.9998994050499485,64,123,64,0,503,22
0,7,"(4, 4)",1,col_based,1,2,False,False,True,True,10,257.5,0.9993118066631578,0.9995866554986697,0.9999615713491811,0.9996250697414246,1.0,0.9998080181428767,0.9999744003225566,0.9999426016416072,64,125,64,0,287,19
1,7,"(4, 4)",1,col_based,1,2,False,False,True,True,10,296.0,0.9991293885616209,0.9994105834331081,0.9998334241686689,0.9995770888176574,1.0,0.9998080181428767,0.9999744003225566,0.9999362020287953,64,141,64,0,319,20
2,7,"(4, 4)",1,col_based,1,2,False,False,True,True,10,265.0,0.999281164947683,0.9995558054443543,0.9999307097239085,0.9996250697414246,1.0,0.9998080181428767,0.9999744003225566,0.9999428016301675,64,125,64,0,286,19
3,7,"(4, 4)",1,col_based,1,2,False,False,True,True,10,260.0,0.9993086562267114,0.9995803055333177,0.9999582188767985,0.9996220708662155,1.0,0.9998080181428767,0.9999744003225566,0.9999458014633722,64,126,64,0,271,18
